Id,Title,Lat,Lng,Categories,Address,Website,Tel,SourceImage,Region
mdcl_3365278,1stbutton Rhinoplasty clinic (첫단추의원),37.5053871607,127.0236686375,Clinic,"(12th Floor, Cheongho Building), 483 Gangnam-daero, Seocho-gu, Seoul (06541)",,,,
mdcl_3366672,201Company (이공일컴퍼니),37.4913529096,127.0365178650,Clinic,"2F, 151 Dogok-ro, Gangnam-gu, Seoul (06255)",,,,
mdcl_3364714,21 Century Hospital (서울21세기병원),37.4853310133,127.0157254829,Clinic,"39 Seochojungang-ro, Seocho-gu, Seoul (06654)",,,,
mdcl_3451988,365mc (365엠씨(mc)병원),37.4930439782,127.0141309657,Clinic,"126 Seochojungang-ro, Seocho-gu, Seoul (06634)",,,,
mdcl_3367052,AB Plastic Surgery (에이비성형외과),37.4996073141,127.0257686102,Clinic,"(2nd-4th Floors, BLOCK77), 17 Seocho-daero 77-gil, Seocho-gu, Seoul (06614)",,,,
mdcl_3453616,ATOP Plastic Surgery (에이탑 성형외과),37.4992490666,127.0282433950,Clinic,"4F-5F, 10 Gangnam-daero 94-gil, Gangnam-gu, Seoul (06134)",,,,
mdcl_3364619,Aimeigroup (아이메이그룹),37.5040179706,127.0289737485,Clinic,"(B2, B1, 1st, 2nd Floors), 49 Gangnam-daero 110-gil, Gangnam-gu, Seoul (06127)",,,,
mdcl_3366125,Ain Hospital (의료법인 아인의료재단 아인병원),37.4582365393,126.6812650460,Clinic,"372 Gyeongin-ro, Michuhol-gu, Incheon (22148)",,,,
mdcl_3364644,Airman Inc. ((주)에어맨),37.4489030233,126.4511335285,Clinic,"(#1032, 2nd Floor, Terminal 1), 272 Gonghang-ro, Yeongjong-gu, Incheon (22382)",,,,
mdcl_3563121,Allforskin Dermatology Clinic (올포스킨피부과),35.8675952667,128.5959488076,Clinic,"4th Floor, Dongwon Building, 26 Dongseong-ro 5-gil, Jung-gu, Daegu (41942)",,,,
mdcl_3366829,Andong Hospital (안동병원),36.5475810368,128.7002536293,Clinic,"11 Angsil-ro, Andong-si, Gyeongsangbuk-do (36743)",,,,
mdcl_3366167,"Anxin International Medical Co,.Ltd (안심국제 주식회사)",37.5196549690,127.0248264612,Clinic,"(#3532), 41 Nonhyeon-ro 151-gil, Gangnam-gu, Seoul (06037)",,,,
mdcl_3364076,Apgujeong Oracle Clinic (압구정오라클피부과),37.5259432118,127.0295091903,Clinic,"(4th Floor, Miseung Building, Sinsa-dong) 23 Apgujeong-ro 30-gil, Gangnam-gu, Seoul (06022)",,,,
mdcl_3364481,Appletree Dental Hospital (사과나무치과병원),37.6713075887,126.7596047057,Clinic,"1450 Jungang-ro, Ilsanseo-gu, Goyang-si, Gyeonggi-do (10387)",,,,
mdcl_3364678,April 31 Plastic Surgery (4월31일성형외과),37.5151500279,127.0299150153,Clinic,"(April 31 Building), 707 Nonhyeon-ro, Gangnam-gu, Seoul (06046)",,,,
mdcl_3366140,Arc Plastic Surgery (아크성형외과의원),37.5038401157,127.0235325821,Clinic,"(9th Floor, K-Platz), 368 Sapyeong-daero, Seocho-gu, Seoul (06611)",,,,
mdcl_3563082,Arumdaun Nara Dermatology Clinic - Myeongdong (아름다운나라피부과의원 명동점),37.5616938077,126.9845928251,Clinic,"4th Floor, 6 Myeongdong 8na-gil, Jung-gu, Seoul (04536)",,,,
mdcl_3367119,Asan Medical Center (서울아산병원),37.5249308512,127.1079020837,Clinic,"(Pungnap-dong), 88 Olympic-ro 43-gil, Songpa-gu, Seoul (05505)",,,,
mdcl_3364665,Atlas21 (주식회사 아틀라스21),35.8670508606,128.5946739350,Clinic,"(5th Floor), 15 Dongseong-ro 1-gil, Jung-gu, Daegu (41942)",,,,
mdcl_3562945,B&VIIT Eye Center (비앤빛안과의원),37.4981602632,127.0259380793,Clinic,"B2 Floor, GT Tower, 411 Seocho-daero, Seocho-gu, Seoul (06615)",,,,
mdcl_3547900,BASE DERMATOLOGY CLINIC (베이스피부과의원),35.1667063162,129.1324795555,Clinic,"#203-#204, Centum Diamond Building, 24 Centum 2-ro, Haeundae-gu, Busan (48060)",,,,
mdcl_3366217,"BF Life Sciences Co., Ltd ((주) 비에프생명과학)",37.5242544800,127.0273372138,Clinic,"(#1, 5th Floor), 10 Nonhyeon-ro 163-gil, Gangnam-gu, Seoul (06031)",,,,
mdcl_3364664,BGN Eye Clinic (밝은눈안과의원),37.5141653654,127.1040749597,Clinic,"(11th Floor), 300 Olympic-ro, Songpa-gu, Seoul (05551)",,,,
mdcl_3366754,BGN Eye Hospital (밝은눈안과병원),35.1579502424,129.0514007375,Clinic,"729 Gaya-daero, Busanjin-gu, Busan (47195)",,,,
mdcl_3563030,BIOFACE CLINIC (비오페이스의원),37.5157942046,127.0191743078,Clinic,"10th Floor, Human Tower, 605 Gangnam-daero, Seocho-gu, Seoul (06526)",,,,
mdcl_3364945,BL plastic syrgery clinic (비엘성형외과의원),35.8702338749,128.5969264260,Clinic,"(1st-3rd and 11th-13th Floors), 95 Dongseong-ro 2-gil, Jung-gu, Daegu (41938)",,,,
mdcl_3467335,BTMedi Inc. (주식회사 비티메디),37.6643446378,126.7667459162,Clinic,"#605, 32-19 Gobong-ro, Ilsandong-gu, Goyang-si, Gyeonggi-do (10364)",,,,
mdcl_3367418,Banobagi Plastic Surgery (바노바기성형외과의원),37.5027237977,127.0357065060,Clinic,"517 Nonhyeon-ro, Gangnam-gu, Seoul (06131)",,,,
mdcl_3539987,Barog Clinic (Deokcheon) (바로그의원 (덕천)),35.2104991059,129.0077919845,Clinic,"4th Floor, 24 Mandeok-daero, Buk-gu, Busan (46576)",,,,
mdcl_3366146,Boombiz (붐비즈),37.4003730269,127.1048919964,Clinic,"(#65, 9th Floor), 8 Daewangpangyo-ro 645beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do (13487)",,,,
mdcl_3574948,Bright St. Mary’s Eye Center (밝은성모안과의원),37.4981186631,127.0293988774,Clinic,"3rd, 16th, 17th, and 18th Floors, Cambridge Building, 110 Teheran-ro, Gangnam-gu, Seoul (06232)",,,,
mdcl_3364624,Bucheon U-ri General Hospital (부천우리병원),37.5209203411,126.8052158814,Clinic,"(Wonjong-dong), 726 Sosa-ro, Ojeong-gu, Bucheon-si, Gyeonggi-do (14466)",,,,
