Name,Id,Lat,Lng,Address,Features,Agoda,Website,Tel,SourceImage,Region
1stbutton Rhinoplasty clinic (첫단추의원),mdcl_3365278,37.5053871607,127.0236686375,"(12th Floor, Cheongho Building), 483 Gangnam-daero, Seocho-gu, Seoul (06541)",Clinic,,,,,
201Company (이공일컴퍼니),mdcl_3366672,37.4913529096,127.0365178650,"2F, 151 Dogok-ro, Gangnam-gu, Seoul (06255)",Clinic,,,,,
21 Century Hospital (서울21세기병원),mdcl_3364714,37.4853310133,127.0157254829,"39 Seochojungang-ro, Seocho-gu, Seoul (06654)",Clinic,,,,,
365mc (365엠씨(mc)병원),mdcl_3451988,37.4930439782,127.0141309657,"126 Seochojungang-ro, Seocho-gu, Seoul (06634)",Clinic,,,,,
AB Plastic Surgery (에이비성형외과),mdcl_3367052,37.4996073141,127.0257686102,"(2nd-4th Floors, BLOCK77), 17 Seocho-daero 77-gil, Seocho-gu, Seoul (06614)",Clinic,,,,,
ATOP Plastic Surgery (에이탑 성형외과),mdcl_3453616,37.4992490666,127.0282433950,"4F-5F, 10 Gangnam-daero 94-gil, Gangnam-gu, Seoul (06134)",Clinic,,,,,
Aimeigroup (아이메이그룹),mdcl_3364619,37.5040179706,127.0289737485,"(B2, B1, 1st, 2nd Floors), 49 Gangnam-daero 110-gil, Gangnam-gu, Seoul (06127)",Clinic,,,,,
Ain Hospital (의료법인 아인의료재단 아인병원),mdcl_3366125,37.4582365393,126.6812650460,"372 Gyeongin-ro, Michuhol-gu, Incheon (22148)",Clinic,,,,,
Airman Inc. ((주)에어맨),mdcl_3364644,37.4489030233,126.4511335285,"(#1032, 2nd Floor, Terminal 1), 272 Gonghang-ro, Yeongjong-gu, Incheon (22382)",Clinic,,,,,
Allforskin Dermatology Clinic (올포스킨피부과),mdcl_3563121,35.8675952667,128.5959488076,"4th Floor, Dongwon Building, 26 Dongseong-ro 5-gil, Jung-gu, Daegu (41942)",Clinic,,,,,
Andong Hospital (안동병원),mdcl_3366829,36.5475810368,128.7002536293,"11 Angsil-ro, Andong-si, Gyeongsangbuk-do (36743)",Clinic,,,,,
"Anxin International Medical Co,.Ltd (안심국제 주식회사)",mdcl_3366167,37.5196549690,127.0248264612,"(#3532), 41 Nonhyeon-ro 151-gil, Gangnam-gu, Seoul (06037)",Clinic,,,,,
Apgujeong Oracle Clinic (압구정오라클피부과),mdcl_3364076,37.5259432118,127.0295091903,"(4th Floor, Miseung Building, Sinsa-dong) 23 Apgujeong-ro 30-gil, Gangnam-gu, Seoul (06022)",Clinic,,,,,
Appletree Dental Hospital (사과나무치과병원),mdcl_3364481,37.6713075887,126.7596047057,"1450 Jungang-ro, Ilsanseo-gu, Goyang-si, Gyeonggi-do (10387)",Clinic,,,,,
April 31 Plastic Surgery (4월31일성형외과),mdcl_3364678,37.5151500279,127.0299150153,"(April 31 Building), 707 Nonhyeon-ro, Gangnam-gu, Seoul (06046)",Clinic,,,,,
Arc Plastic Surgery (아크성형외과의원),mdcl_3366140,37.5038401157,127.0235325821,"(9th Floor, K-Platz), 368 Sapyeong-daero, Seocho-gu, Seoul (06611)",Clinic,,,,,
Arumdaun Nara Dermatology Clinic - Myeongdong (아름다운나라피부과의원 명동점),mdcl_3563082,37.5616938077,126.9845928251,"4th Floor, 6 Myeongdong 8na-gil, Jung-gu, Seoul (04536)",Clinic,,,,,
Asan Medical Center (서울아산병원),mdcl_3367119,37.5249308512,127.1079020837,"(Pungnap-dong), 88 Olympic-ro 43-gil, Songpa-gu, Seoul (05505)",Clinic,,,,,
Atlas21 (주식회사 아틀라스21),mdcl_3364665,35.8670508606,128.5946739350,"(5th Floor), 15 Dongseong-ro 1-gil, Jung-gu, Daegu (41942)",Clinic,,,,,
B&VIIT Eye Center (비앤빛안과의원),mdcl_3562945,37.4981602632,127.0259380793,"B2 Floor, GT Tower, 411 Seocho-daero, Seocho-gu, Seoul (06615)",Clinic,,,,,
BASE DERMATOLOGY CLINIC (베이스피부과의원),mdcl_3547900,35.1667063162,129.1324795555,"#203-#204, Centum Diamond Building, 24 Centum 2-ro, Haeundae-gu, Busan (48060)",Clinic,,,,,
"BF Life Sciences Co., Ltd ((주) 비에프생명과학)",mdcl_3366217,37.5242544800,127.0273372138,"(#1, 5th Floor), 10 Nonhyeon-ro 163-gil, Gangnam-gu, Seoul (06031)",Clinic,,,,,
BGN Eye Clinic (밝은눈안과의원),mdcl_3364664,37.5141653654,127.1040749597,"(11th Floor), 300 Olympic-ro, Songpa-gu, Seoul (05551)",Clinic,,,,,
BGN Eye Hospital (밝은눈안과병원),mdcl_3366754,35.1579502424,129.0514007375,"729 Gaya-daero, Busanjin-gu, Busan (47195)",Clinic,,,,,
BIOFACE CLINIC (비오페이스의원),mdcl_3563030,37.5157942046,127.0191743078,"10th Floor, Human Tower, 605 Gangnam-daero, Seocho-gu, Seoul (06526)",Clinic,,,,,
BL plastic syrgery clinic (비엘성형외과의원),mdcl_3364945,35.8702338749,128.5969264260,"(1st-3rd and 11th-13th Floors), 95 Dongseong-ro 2-gil, Jung-gu, Daegu (41938)",Clinic,,,,,
BTMedi Inc. (주식회사 비티메디),mdcl_3467335,37.6643446378,126.7667459162,"#605, 32-19 Gobong-ro, Ilsandong-gu, Goyang-si, Gyeonggi-do (10364)",Clinic,,,,,
Banobagi Plastic Surgery (바노바기성형외과의원),mdcl_3367418,37.5027237977,127.0357065060,"517 Nonhyeon-ro, Gangnam-gu, Seoul (06131)",Clinic,,,,,
Barog Clinic (Deokcheon) (바로그의원 (덕천)),mdcl_3539987,35.2104991059,129.0077919845,"4th Floor, 24 Mandeok-daero, Buk-gu, Busan (46576)",Clinic,,,,,
Boombiz (붐비즈),mdcl_3366146,37.4003730269,127.1048919964,"(#65, 9th Floor), 8 Daewangpangyo-ro 645beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do (13487)",Clinic,,,,,
Bright St. Mary’s Eye Center (밝은성모안과의원),mdcl_3574948,37.4981186631,127.0293988774,"3rd, 16th, 17th, and 18th Floors, Cambridge Building, 110 Teheran-ro, Gangnam-gu, Seoul (06232)",Clinic,,,,,
Bucheon U-ri General Hospital (부천우리병원),mdcl_3364624,37.5209203411,126.8052158814,"(Wonjong-dong), 726 Sosa-ro, Ojeong-gu, Bucheon-si, Gyeonggi-do (14466)",Clinic,,,,,
Bumin Hospital Seoul (서울부민병원),mdcl_3548816,37.5569169709,126.8509190354,"1st Floor, International Healthcare Center, 389 Gonghang-daero, Gangseo-gu, Seoul (07590)",Clinic,,,,,
Bundang Jesaeng Hospital (대진의료재단 분당제생병원),mdcl_3548137,37.3882552912,127.1217935811,"4th Floor, New Building, 20 Seohyeon-ro 180beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do (13590)",Clinic,,,,,
Busan Adventist Hospital (삼육부산병원),mdcl_3365841,35.1125518126,129.0115082254,"(Seodaesin-dong 2(i)-ga),170 Daeti-ro, Seo-gu, Busan (49230)",Clinic,,,,,
Busan BGSS Eye Clinic (부산밝은세상안과),mdcl_3466909,35.1572448908,129.0581557245,"8F-11F, 74 Seomyeon-ro, Busanjin-gu, Busan (47286)",Clinic,,,,,
Busan JMJ (부산제이엠제이),mdcl_3366484,35.1521316444,129.0619694214,"50 Jungang-daero 666beon-gil, Busanjin-gu, Busan (47300)",Clinic,,,,,
Busan St Mary's Hospital (부산성모병원),mdcl_3466939,35.1107566018,129.1096608507,"25-14 Yongho-ro 232beon-gil, Nam-gu, Busan (48575)",Clinic,,,,,
Busan Wooridul Spine Hospital (부산우리들병원),mdcl_3364622,35.2213298852,129.0856043560,"1523 Jungang-daero, Dongnae-gu, Busan (47710)",Clinic,,,,,
CHA Bundang Medical Center (차의과학대학교 분당차병원),mdcl_3366432,37.4099083995,127.1253093166,"59 Yatap-ro, Bundang-gu, Seongnam-si, Gyeonggi-do (13496)",Clinic,,,,,
CM Hospital (CM병원),mdcl_3562726,37.5188612288,126.9039347180,"CM Chungmu Hospital, 13 Yeongdeungpo-ro 36-gil, Yeongdeungpo-gu, Seoul (07301)",Clinic,,,,,
CMC Confidence (씨엠씨 컨피던스),mdcl_3441544,37.5205717242,127.0356782255,"#207, Ra-dong, 14 Eonju-ro 148-gil, Gangnam-gu, Seoul (06057)",Clinic,,,,,
COANMI PLASTIC SURGERY (코앤미성형외과의원),mdcl_3366188,37.4988268657,127.0267074350,"(10th Floor, Tongyeong Building), 405 Gangnam-daero, Seocho-gu, Seoul (06615)",Clinic,,,,,
Catholic Kwandong University International ST.Mary's Hospital (가톨릭관동대학교 국제성모병원),mdcl_3367085,37.5423740216,126.6835847124,"25 Simgok-ro 100beon-gil, Seohae-gu, Incheon (22711)",Clinic,,,,,
Cha Fertility Ceter - Seoul Station ((의)성광의료재단 차여성의원),mdcl_3366179,37.5555832124,126.9737773174,"(2nd Floor, Seoul Square), 416 Hangang-daero, Jung-gu, Seoul (04637)",Clinic,,,,,
"Cha Gangnam Medical Center, Cha University (차의과학대학교 강남차병원)",mdcl_3364756,37.5066983126,127.0344120670,"(Yeoksam-dong), 566 Nonhyeon-ro, Gangnam-gu, Seoul (06135)",Clinic,,,,,
Chamin Plastic Surgery (차민성형외과의원),mdcl_3591234,37.5069064137,127.0228270043,"4th–6th Floors, Cheongha Building, 503 Gangnam-daero, Seocho-gu, Seoul (06536)",Clinic,,,,,
Charmdaun Korean Medical Clinic (참다운 한의원),mdcl_3549360,35.8703567587,128.6335259766,"3rd Floor, Jasam Building, 50 Hwarang-ro, Suseong-gu, Daegu (42038)",Clinic,,,,,
Chaum (차움의원),mdcl_3364627,37.5233604406,127.0441051566,"(2nd Floor, Pie'n Polus), 442 Dosan-daero, Gangnam-gu, Seoul (06062)",Clinic,,,,,
Children's Dental Center (씨디씨어린이치과의원),mdcl_3366570,37.5206692889,127.0553653192,"11, Hakdong-ro 97-gil, Gangnam-gu, Seoul (06072)",Clinic,,,,,
Choi Hyeok Korean Medicine Clinic (최혁한의원),mdcl_3365009,37.5806592297,127.0380013098,"(1st Floor), 52 Yangnyeongdong-gil, Dongdaemun-gu, Seoul (02570)",Clinic,,,,,
Chonnam National University Hospital (전남대학교병원),mdcl_3364564,35.1425059777,126.9208657915,"42 Jebong-ro, Dong-gu, Jeonnam-Gwangju Special Metropolitan City (61469)",Clinic,,,,,
Chonnam National University Hwasun Hospital (화순전남대학교병원),mdcl_3549387,35.0603971542,127.0010690978,"B1 Floor, International Medical Center, 322 Seoyang-ro, Hwasun-eup, Hwasun-gun, Jeonnam-Gwangju Special Metropolitan City (58128)",Clinic,,,,,
Chung-Ang Uiversity Hospital (중앙대학교병원),mdcl_3366398,37.5076357737,126.9608659589,"102 Heukseok-ro, Dongjak-gu, Seoul (06973)",Clinic,,,,,
"Circletour Co., Ltd. (주식회사 써클투어)",mdcl_3366418,37.4919055257,127.0310627899,"(#1411, Hwanghwa Building), 320 Gangnam-daero, Gangnam-gu, Seoul (06252)",Clinic,,,,,
Clean Vein Surgery Clinic (클린외과의원),mdcl_3562759,37.5046316919,127.0236103311,"5th Floor, Hyeoncheol Building, 371 Sapyeong-daero, Seocho-gu, Seoul (06541)",Clinic,,,,,
Creation & Love Women's Hospital (CLWH) (시엘병원),mdcl_3580435,35.1614865680,126.8853628995,"957 Mujin-daero, Seo-gu, Jeonnam-Gwangju Special Metropolitan City (61917)",Clinic,,,,,
